OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
217,2015,SPS-District K-12,K-12 School,6,BALLARD,47.69689628,-122.3778526,1.0,1.0,160270,K-12 School,5674450.0,212.02,1.27,56,1,1.0,0.0,160270.0,160270.0
220,2015,NonResidential,Non-Refrigerated Warehouse,2,GREATER DUWAMISH,47.55860699,-122.3332277,1.0,1.0,234144,Non-Refrigerated Warehouse,7370743.0,320.35,1.34,78,1,1.0,0.0,234144.0,234144.0
223,2015,NonResidential,Retail Store,1,DELRIDGE,47.52131741,-122.3668974,1.0,1.0,64984,Retail Store,2721646.0,32.75,0.34,49,1,1.0,0.0,64984.0,64984.0
224,2015,NonResidential,Retail Store,1,DELRIDGE,47.52131741,-122.3668974,1.0,1.0,67745,Retail Store,9560965.0,368.63,5.25,50,1,1.0,0.0,67745.0,67745.0
225,2015,SPS-District K-12,K-12 School,1,DELRIDGE,47.52967421,-122.3666556,1.0,2.0,367884,K-12 School,12263687.0,271.32,0.64,5,1,1.0,0.0,367884.0,183942.0
226,2015,SPS-District K-12,K-12 School,1,DELRIDGE,47.51791397,-122.3706774,1.0,1.0,46797,K-12 School,1911611.0,62.2,1.25,57,1,1.0,0.0,46797.0,46797.0
227,2015,SPS-District K-12,K-12 School,3,CENTRAL,47.59792434,-122.3039472,1.0,3.0,136188,K-12 School,5436057.0,178.5,1.24,52,1,1.0,0.0,136188.0,45396.0
228,2015,NonResidential,Other,6,BALLARD,47.67771413,-122.3962337,1.0,3.0,56000,Other,1755264.0,53.61,0.89,42,1,1.0,0.0,56000.0,18666.667
229,2015,SPS-District K-12,K-12 School,2,SOUTHEAST,47.54197311,-122.27677917,1.0,2.0,67371,K-12 School,2075833.0,42.8,0.54,11,1,1.0,0.0,67371.0,33685.5
230,2015,NonResidential,"Self-Storage Facility
",1,SOUTHWEST,47.54506084,-122.3773622,1.0,2.0,52088,Self-Storage Facility,1186800.0,39.54,0.72,46,1,1.0,0.0,52088.0,26044.0
231,2015,SPS-District K-12,K-12 School,4,LAKE UNION,47.6572102,-122.3375797,1.0,3.0,127776,K-12 School,4213726.0,56.96,0.32,5,1,1.0,0.0,127776.0,42592.0
232,2015,NonResidential,Hotel,3,LAKE UNION,47.62970427,-122.3290596,1.0,5.0,123920,Hotel,8964061.0,289.43,2.2,17,3,0.75791,0.24209,123920.0,24784.0
